Input,Input_Intent,Response,Response_Intent
"Hai, lagi apa nih?",Greetings,Hai! Lagi ngapain nih?,Greetings
"Halo, boleh curhat nggak?",Greetings,Halo! Gimana kabarmu hari ini?,Greetings
"Hii, aku pengen ngobrol deh",Greetings,"Hey, ada cerita seru nggak hari ini?",Greetings
"Yo, lagi sibuk nggak?",Greetings,"Halo, apa yang lagi kamu pikirin?",Greetings
"Eh, ada waktu buat dengerin aku?",Greetings,Hai! Udah makan belum?,Greetings
"Selamat siang, gimana kabarnya?",Greetings,Hei! Ada yang bisa aku bantu?,Greetings
"Hai, aku lagi bingung nih...",Greetings,"Halo, semoga harimu menyenangkan ya!",Greetings
"Halo, aku mau cerita dong",Greetings,Hai! Apa kabar? Mau ngobrol apa?,Greetings
"Heii, ada yang mau aku omongin nih",Greetings,Hey! Lagi sibuk apa sekarang?,Greetings
"Hai, lagi santai nggak?",Greetings,Halo! Senang banget ketemu kamu lagi,Greetings
"Woi, bisa ngobrol bentar nggak?",Greetings,"Hai! Yuk, cerita apa aja hari ini!",Greetings
Pagi! Aku mau share sesuatu nih,Greetings,"Hey, kabar baik kan? Yuk ngobrol!",Greetings
"Halo, kayaknya aku butuh teman cerita deh",Greetings,Halo! Lagi pengen ngomongin apa nih?,Greetings
"Eh, lagi di sana nggak? Aku mau ngomong",Greetings,"Hai! Ceritain dong, ada apa hari ini?",Greetings
"Yo, aku boleh curhat sama kamu kan?",Greetings,Halo! Aku di sini buat dengerin kamu!,Greetings
"Hai, bisa nemenin ngobrol bentar nggak?",Greetings,"Sama-sama, senang bisa bantu!",Thanks
"Eh, aku pengen cerita, kamu ada waktu?",Greetings,"Wah, nggak usah sungkan, aku senang kok.",Thanks
"Halo, aku lagi galau nih, ngobrol yuk",Greetings,"Kapan aja kalau butuh ngobrol lagi, ya!",Thanks
"Hehe, aku nyari teman ngobrol nih",Greetings,"Santai aja, aku selalu ada buat kamu.",Thanks
"Hai, aku boleh ganggu bentar?",Greetings,"Oke banget, aku senang bisa denger cerita kamu.",Thanks
"Yo, boleh dong aku cerita ke kamu",Greetings,"Iya, nggak perlu sungkan. Cerita aja kapanpun.",Thanks
"Hai, gimana kabarmu? Aku pengen cerita",Greetings,"Sip, semoga bisa bikin kamu lebih lega ya!",Thanks
"Halo, aku lagi butuh saran nih",Greetings,Sama-sama! Aku senang bisa bikin kamu merasa lebih baik.,Thanks
"Eh, aku boleh nanya sesuatu nggak?",Greetings,"Yuk, lanjut aja kalau ada yang mau dibahas lagi.",Thanks
"Hai, aku lagi buntu, ngobrol yuk",Greetings,"Santuy, aku selalu di sini buat kamu.",Thanks
Makasih ya udah dengerin aku,Thanks,"Gampang banget, kapanpun kamu butuh, cerita aja.",Thanks
Thank you banget ya,Thanks,"Aku yang harusnya makasih, kamu udah percaya buat cerita.",Thanks
"Serius, makasih loh",Thanks,"Oke, semoga obrolan ini bantu kamu, ya!",Thanks
Aku bener-bener berterima kasih,Thanks,"Sama-sama, nggak ada yang lebih penting dari bantu teman!",Thanks
Makasih banget buat semuanya,Thanks,"Keren, semoga setelah ini kamu lebih tenang, ya!",Thanks
"Eh, makasih ya udah bantuin aku",Thanks,"Aku baik, kamu sendiri gimana?",General_Conversation
Terima kasih banget nih,Thanks,"Hari ini lumayan seru, kamu gimana?",General_Conversation
Makasih banyak loh,Thanks,Lagi dengerin lagu apa nih? Mau rekomendasiin?,General_Conversation
Thanks ya udah care,Thanks,"Wah, akhir pekan ada rencana seru apa?",General_Conversation
Aku makasih banget seriusan,Thanks,"Lagi santai nih, kamu sendiri gimana?",General_Conversation
Makasih ya udah ada buat aku,Thanks,"Film yang bagus? Hmm, aku lagi suka action, kamu?",General_Conversation
"Gak tau mau ngomong apa, makasih",Thanks,"Pengen makan enak, ada ide nggak?",General_Conversation
Makasih banget yaa,Thanks,Cerita dong cerita lucu kamu!,General_Conversation
Eh thanks banget ya,Thanks,Sekolah tadi gimana? Ada hal seru?,General_Conversation
Terima kasih udah dengerin aku,Thanks,"Aku lagi santai aja, ada cerita?",General_Conversation
Makasih banget udah support aku,Thanks,Tempat liburan favorit kamu apa?,General_Conversation
"Aku bener-bener bersyukur, makasih",Thanks,Hari ini bikin happy karena ngobrol sama kamu!,General_Conversation
"Makasih ya, kamu baik banget",Thanks,Biasanya kamu ngapain kalau nggak sibuk?,General_Conversation
Wah makasih banget serius,Thanks,"Wah, hobi kamu keren banget, ceritain lagi dong!",General_Conversation
Thanks banget udah bantu aku,Thanks,"Makanan viral? Belum coba nih, enak nggak?",General_Conversation
Aku cuma mau bilang makasih,Thanks,"Aku ngerti kok, cerita aja kalau kamu mau.",Share_Sadness
Terima kasih banyak ya,Thanks,"Aku di sini buat dengerin, jangan ragu ya.",Share_Sadness
"Aku gak nyangka, makasih loh",Thanks,"Kadang emang berat banget ya, kamu nggak sendiri kok.",Share_Sadness
Thanks banget kamu tuh baik,Thanks,Mau cerita lebih banyak? Aku ada waktu buat kamu.,Share_Sadness
Aduh makasih banget deh,Thanks,"Aku paham kok, yuk cerita biar lega sedikit.",Share_Sadness
Apa kabar? Lagi ngapain sekarang?,General_Conversation,"Sedih itu wajar banget, aku ngerti banget rasanya.",Share_Sadness
"Hei, cerita dong hari ini gimana?",General_Conversation,"Aku di sini kok, kamu nggak sendirian.",Share_Sadness
Lagi dengerin lagu apa yang asyik nih?,General_Conversation,Rasanya berat ya? Cerita ke aku aja pelan-pelan.,Share_Sadness
Ada rencana seru buat akhir pekan?,General_Conversation,"Aku bisa bantu dengerin, ayo cerita kalau kamu siap.",Share_Sadness
"Kalau lagi santai, biasanya kamu ngapain?",General_Conversation,"Kamu udah kuat banget, aku ada buat dukung kamu.",Share_Sadness
"Eh, ada film bagus nggak yang lagi kamu suka?",General_Conversation,"Gak apa-apa kok, cerita aja biar lebih ringan.",Share_Sadness
Lagi pengen makan apa sekarang?,General_Conversation,"Kalau sedih, kadang cerita bisa bikin lega lho.",Share_Sadness
Punya cerita lucu nggak minggu ini?,General_Conversation,"Aku ngerti, yuk coba pelan-pelan cari jalan keluarnya.",Share_Sadness
Gimana tadi di sekolah atau kerja? Seru nggak?,General_Conversation,"Sedih itu gak apa-apa kok, aku dengerin ya.",Share_Sadness
Kamu lagi nungguin acara apa sekarang?,General_Conversation,"Kamu nggak sendirian ngerasain ini, aku ada di sini buat bantu.",Share_Sadness
Lagi kepikiran tempat seru buat liburan nggak?,General_Conversation,"Kamu pasti bisa kok, pelan-pelan aja, yang penting jangan nyerah!",Ask_Motivation
Ada hal menarik yang bikin kamu senyum hari ini?,General_Conversation,"Coba ingat lagi alasan kamu mulai, itu bakal bikin kamu semangat lagi.",Ask_Motivation
"Kalau nggak sibuk, biasanya kamu ngapain?",General_Conversation,"Kadang susah itu wajar, tapi yakin deh kamu punya kemampuan buat ngatasin ini.",Ask_Motivation
Kamu punya hobi seru nggak? Mau cerita dong!,General_Conversation,"Jangan terlalu keras sama diri sendiri, yang penting kamu udah coba terbaik.",Ask_Motivation
"Eh, kamu udah coba makanan viral yang itu belum?",General_Conversation,"Gak apa-apa kalau capek, tapi jangan lupa bangkit lagi ya!",Ask_Motivation
"Kalau lagi bosan, biasanya kamu gimana sih ngilanginnya?",General_Conversation,"Setiap usaha kecil itu berarti, jadi terusin aja langkahnya.",Ask_Motivation
Ada seri atau buku yang lagi kamu suka banget?,General_Conversation,"Hei, kamu tuh jauh lebih kuat dari yang kamu pikir, percaya deh!",Ask_Motivation
"Cerita dong, apa yang bikin kamu happy akhir-akhir ini?",General_Conversation,"Kalau butuh istirahat, ambil aja dulu, abis itu lanjut lagi dengan semangat baru.",Ask_Motivation
"Kalau disuruh pilih, liburan ke pantai atau gunung?",General_Conversation,"Ingat, semua orang hebat juga pernah mulai dari nol kayak kamu.",Ask_Motivation
